Rank,CDF,Column Name,kPB,?CH2,?T/O,?C/P,?B/P pH 7.6,?B/P pH 2.7,Type*,Particle Size** [µm],TPP/SPP,Pore Size [A]
61,-0.948,Discovery RP-amide C16,1.65,1.35,1.81,0.49,0.44,0.19,PEG,5,TPP,180
126,-1.175,EU Column,6.19,1.46,1.5,0.56,1,0.12,C18,5,TPP,114
307,-2.34,Fluofix (ec),0.57,1.24,0.58,0.81,2.06,0.38,Fluoroalkyl,5,TPP,120
326,-2.787,Fluofix (nec),0.48,1.2,0.67,1.37,3.9,0.26,Fluoroalkyl,5,TPP,120
276,-2.032,Fluophase PFP,1.6,1.23,2.5,0.63,0.7,0.3,PFP,5,TPP,100
308,-2.361,Fluophase RP,0.98,1.21,0.62,0.73,2.12,0.6,Fluoroalkyl,5,TPP,100
316,-2.571,FluoroSep RP Octyl,1.44,1.23,0.63,0.75,4.12,0.52,Fluoroalkyl,5,TPP,60
258,-1.932,FluoroSep RP Phenyl HS,3.31,1.29,2.72,0.65,0.74,0.19,PFP,5,TPP,60
315,-2.514,FluoroSep RP Propyl,0.16,1.15,1,1.15,1.47,0.39,Fluoroalkyl,5,TPP,300
218,-1.616,Fortis C18 1.7 µm,6.72,1.49,1.26,0.48,0.26,0.07,C18,1.7,TPP,110
222,-1.645,Fortis C18 5 µm,7.04,1.48,1.27,0.5,0.33,0.08,C18,5,TPP,110
344,-3.465,Fortis cyano C18 2.1 µm,0.21,1,1,0.67,2.09,0.2,CN,2.1,TPP,110
343,-3.457,Fortis cyano C18 5 µm,0.17,1,1,0.69,1.86,0.19,CN,5,TPP,110
191,-1.473,Fortis Diphenyl,1.54,1.31,0.93,0.81,0.56,0.07,Diphenyl,1.7,TPP,100
240,-1.753,Fortis H2O,7.42,1.5,1.64,0.41,1.56,0.1,Aqua,5,TPP,110
96,-1.059,Gemini C18,4.87,1.46,1.21,0.44,0.29,0.08,C18,5,TPP,110
125,-1.17,Gemini NX C18,4.87,1.46,1.11,0.34,0.3,0.09,C18,5,TPP,110
87,-1.02,Gemini phenyl hexyl,2.79,1.36,1.04,0.6,0.3,0.05,Phenyl,5,TPP,110
175,-1.403,Genesis AQ,6.07,1.49,1.26,0.53,0.42,0.11,Aqua,5,TPP,120
188,-1.454,Genesis C18,6.25,1.5,1.41,0.44,0.29,0.1,C18,5,TPP,120
130,-1.205,Genesis C8,2.09,1.33,1.01,0.55,0.6,0.12,C8,5,TPP,120
303,-2.26,Genesis CN,0.22,1.16,1.9,0.6,1,0.18,CN,5,TPP,120
